id,name,type,prefecture,lat,lon
1,根室半島チャシ跡群,100,北海道,43.3325,145.8236
2,五稜郭,100,北海道,41.7969,140.7554
3,松前城,100,北海道,41.4306,140.1058
4,弘前城,100,青森県,40.6083,140.4639
5,根城,100,青森県,40.5061,141.4644
6,盛岡城,100,岩手県,39.7017,141.1544
7,多賀城,100,宮城県,38.3011,140.9847
8,仙台城,100,宮城県,38.2528,140.8558
9,久保田城,100,秋田県,39.7186,140.1147
10,山形城,100,山形県,38.2536,140.3269
11,二本松城,100,福島県,37.5872,140.4489
12,会津若松城,100,福島県,37.4867,139.9297
13,白河小峰城,100,福島県,37.1328,140.2133
14,水戸城,100,茨城県,36.3714,140.4756
15,足利氏館,100,栃木県,36.3419,139.4494
16,箕輪城,100,群馬県,36.4364,138.9639
17,金山城,100,群馬県,36.3197,139.3364
18,鉢形城,100,埼玉県,36.1089,139.1953
19,川越城,100,埼玉県,35.9250,139.4864
20,佐倉城,100,千葉県,35.7239,140.2264
21,江戸城,100,東京都,35.6852,139.7528
22,八王子城,100,東京都,35.6472,139.2389
23,小田原城,100,神奈川県,35.2497,139.1583
24,武田氏館,100,山梨県,35.6869,138.5772
25,甲府城,100,山梨県,35.6675,138.5697
26,松代城,100,長野県,36.5658,138.1969
27,上田城,100,長野県,36.4022,138.2431
28,小諸城,100,長野県,36.3275,138.4161
29,松本城,100,長野県,36.2389,137.9689
30,高遠城,100,長野県,35.8322,138.0644
31,新発田城,100,新潟県,37.9547,139.3267
32,春日山城,100,新潟県,37.1492,138.2106
33,高岡城,100,富山県,36.7497,137.0217
34,七尾城,100,石川県,37.0175,136.9744
35,金沢城,100,石川県,36.5647,136.6594
36,丸岡城,100,福井県,36.1522,136.2719
37,一乗谷城,100,福井県,35.9997,136.2964
38,岩村城,100,岐阜県,35.4597,137.4508
39,岐阜城,100,岐阜県,35.4339,136.7822
40,山中城,100,静岡県,35.1561,138.9958
41,駿府城,100,静岡県,34.9786,138.3831
42,掛川城,100,静岡県,34.7753,138.0150
43,犬山城,100,愛知県,35.3908,136.9392
44,名古屋城,100,愛知県,35.1856,136.8997
45,岡崎城,100,愛知県,34.9564,137.1589
46,長篠城,100,愛知県,34.9222,137.5586
47,伊賀上野城,100,三重県,34.7717,136.1267
48,松阪城,100,三重県,34.5756,136.5253
49,小谷城,100,滋賀県,35.4592,136.2778
50,彦根城,100,滋賀県,35.2764,136.2517
51,安土城,100,滋賀県,35.1558,136.1392
52,観音寺城,100,滋賀県,35.1458,136.1628
53,二条城,100,京都府,35.0142,135.7481
54,大阪城,100,大阪府,34.6872,135.5261
55,千早城,100,大阪府,34.4172,135.6514
56,竹田城,100,兵庫県,35.3006,134.8292
57,篠山城,100,兵庫県,35.0719,135.2189
58,明石城,100,兵庫県,34.6525,134.9917
59,姫路城,100,兵庫県,34.8394,134.6939
60,赤穂城,100,兵庫県,34.7461,134.3886
61,高取城,100,奈良県,34.4294,135.8286
62,和歌山城,100,和歌山県,34.2275,135.1714
63,鳥取城,100,鳥取県,35.5056,134.2389
64,松江城,100,島根県,35.4750,133.0506
65,月山富田城,100,島根県,35.3611,133.1892
66,津和野城,100,島根県,34.4611,131.7658
67,津山城,100,岡山県,35.0617,134.0044
68,備中松山城,100,岡山県,34.8089,133.6222
69,鬼ノ城,100,岡山県,34.7267,133.7583
70,岡山城,100,岡山県,34.6653,133.9361
71,福山城,100,広島県,34.4914,133.3611
72,吉田郡山城,100,広島県,34.6728,132.7011
73,広島城,100,広島県,34.4022,132.4589
74,岩国城,100,山口県,34.1756,132.1706
75,萩城,100,山口県,34.4183,131.3831
76,徳島城,100,徳島県,34.0750,134.5550
77,高松城,100,香川県,34.3503,134.0503
78,丸亀城,100,香川県,34.2861,133.8003
79,今治城,100,愛媛県,34.0664,133.0078
80,湯築城,100,愛媛県,33.8497,132.7867
81,松山城,100,愛媛県,33.8453,132.7656
82,大洲城,100,愛媛県,33.5103,132.5403
83,宇和島城,100,愛媛県,33.2189,132.5647
84,高知城,100,高知県,33.5606,133.5314
85,福岡城,100,福岡県,33.5844,130.3831
86,大野城,100,福岡県,33.5400,130.5216
87,名護屋城,100,佐賀県,33.5303,129.8647
88,吉野ヶ里,100,佐賀県,33.3275,130.3856
89,佐賀城,100,佐賀県,33.2458,130.3017
90,平戸城,100,長崎県,33.3703,129.5583
91,島原城,100,長崎県,32.7931,130.3683
92,熊本城,100,熊本県,32.8061,130.7058
93,人吉城,100,熊本県,32.2119,130.7658
94,大分府内城,100,大分県,33.2403,131.6119
95,岡城,100,大分県,32.9717,131.4117
96,飫肥城,100,宮崎県,31.6289,131.3506
97,鹿児島城,100,鹿児島県,31.6006,130.5558
98,今帰仁城,100,沖縄県,26.6917,127.9297
99,中城城,100,沖縄県,26.2844,127.7997
100,首里城,100,沖縄県,26.2169,127.7194
101,志苔館,続100,北海道,41.7619,140.8011
102,上ノ国勝山館,続100,北海道,41.6047,140.1039
103,浪岡城,続100,青森県,40.7183,140.5925
104,九戸城,続100,岩手県,40.2694,141.2911
105,白石城,続100,宮城県,38.0025,140.6175
106,脇本城,続100,秋田県,39.9142,139.9056
107,秋田城,続100,秋田県,39.7417,140.0814
108,鶴ヶ岡城,続100,山形県,38.7256,139.8242
109,米沢城,続100,山形県,37.9094,140.1039
110,三春城,続100,福島県,37.4428,140.4939
111,向羽黒山城,続100,福島県,37.4517,139.8458
112,滝山城,続100,東京都,35.7067,139.3308
113,品川台場,続100,東京都,35.6364,139.7753
114,笠間城,続100,茨城県,36.3814,140.2717
115,土浦城,続100,茨城県,36.0856,140.1989
116,唐沢山城,続100,栃木県,36.3533,139.6006
117,名胡桃城,続100,群馬県,36.6547,138.9953
118,沼田城,続100,群馬県,36.6483,139.0389
119,岩櫃城,続100,群馬県,36.5683,138.8267
120,本佐倉城,続100,千葉県,35.7194,140.2589
121,大多喜城,続100,千葉県,35.2864,140.2389
122,小机城,続100,神奈川県,35.5097,139.5936
123,石垣山城,続100,神奈川県,35.2361,139.1286
124,忍城,続100,埼玉県,36.1383,139.4533
125,杉山城,続100,埼玉県,36.0469,139.3131
126,菅谷館,続100,埼玉県,36.0425,139.3283
127,龍岡城,続100,長野県,36.1953,138.5008
128,高島城,続100,長野県,36.0417,138.1067
129,新府城,続100,山梨県,35.7183,138.4117
130,要害山城,続100,山梨県,35.7056,138.5997
131,村上城,続100,新潟県,38.2258,139.4897
132,高田城,続100,新潟県,37.1103,138.2561
133,鮫ケ尾城,続100,新潟県,37.0397,138.2131
134,福井城,続100,福井県,36.0650,136.2217
135,越前大野城,続100,福井県,35.9864,136.4819
136,佐柿国吉城,続100,福井県,35.5847,135.9189
137,玄蕃尾城,続100,福井県,35.6319,136.1683
138,鳥越城,続100,石川県,36.3117,136.5783
139,富山城,続100,富山県,36.6931,137.2114
140,増山城,続100,富山県,36.6433,137.0253
141,小牧山城,続100,愛知県,35.2919,136.9117
142,古宮城,続100,愛知県,34.9664,137.4939
143,吉田城,続100,愛知県,34.7700,137.3939
144,津城,続100,三重県,34.7186,136.5089
145,多気北畠氏城館,続100,三重県,34.5056,136.3169
146,田丸城,続100,三重県,34.4908,136.6311
147,赤木城,続100,三重県,33.9161,135.9558
148,興国寺城,続100,静岡県,35.1328,138.7906
149,諏訪原城,続100,静岡県,34.8211,138.1256
150,高天神城,続100,静岡県,34.6983,138.0353
151,浜松城,続100,静岡県,34.7117,137.7253
152,郡上八幡城,続100,岐阜県,35.7533,136.9656
153,苗木城,続100,岐阜県,35.5039,137.4853
154,美濃金山城,続100,岐阜県,35.4667,137.0989
155,大垣城,続100,岐阜県,35.3622,136.6169
156,福知山城,続100,京都府,35.2975,135.1292
157,芥川山城,続100,大阪府,34.8625,135.5969
158,飯盛城,続100,大阪府,34.7214,135.6567
159,岸和田城,続100,大阪府,34.4589,135.3714
160,鎌刃城,続100,滋賀県,35.3161,136.3156
161,八幡山城,続100,滋賀県,35.1436,136.0864
162,小丸城,続100,福井県,35.9011,136.2169
163,北ノ庄城,続100,福井県,36.0608,136.2189
164,洲本城,続100,兵庫県,34.3331,134.8989
165,大和郡山城,続100,奈良県,34.6508,135.7811
166,宇陀松山城,続100,奈良県,34.4844,135.9389
167,新宮城,続100,和歌山県,33.7297,136.0028
168,備中高松城,続100,岡山県,34.6858,133.8236
169,三原城,続100,広島県,34.4008,133.0858
170,新高山城,続100,広島県,34.4361,132.9697
171,鏡山城,続100,広島県,34.4089,132.7231
172,米子城,続100,鳥取県,35.4261,133.3267
173,浜田城,続100,島根県,34.9056,132.0739
174,大内氏館・高嶺城,続100,山口県,34.1864,131.4789
175,引田城,続100,香川県,34.2272,134.4056
176,勝瑞城,続100,徳島県,34.1206,134.5025
177,一宮城,続100,徳島県,34.0375,134.4647
178,能島城,続100,愛媛県,34.1808,133.0569
179,河後野城,続100,愛媛県,33.2725,132.7239
180,岡豊城,続100,高知県,33.5936,133.6019
181,小倉城,続100,福岡県,33.8842,130.8753
182,水城,続100,福岡県,33.5156,130.4853
